id_colaborador,nome,genero,nivel,data_admissao,data_promocao,salario_base,percentual_bonus,id_departamento,id_filial,id_reporta_a,processos_actifs,horas_extras_mes,score_satisfacao,home_office,status_atual,nome_departamento,id_chefe_departamento,cidade,estado,id_socio_diretor
169,Tatiana Mendes ,Não-binário,Júnior,,,"4025,95",0.0,20,2,501.0,63,46,1.7,True,Desligado,Trabalhista,200,São Paulo,SP,502
170,João Lima ,Não-binário,Pleno,,,"8357,19",0.16,20,3,200.0,53,55,1.2,True,Desligado,Trabalhista,200,Rio de Janeiro,RJ,503
171,Kamila Pereira ,Não-binário,Júnior,,,"4642,21",0.07,20,2,100.0,47,55,2.1,True,Desligado,Trabalhista,200,São Paulo,SP,502
172,Lucas Martins ,Não-binário,Júnior,,,"4925,38",0.1,40,3,501.0,34,13,,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
173,Gabriela Almeida ,Masculino,Sócio,2021-01-13,2021-01-13,"19044,75",0.5,40,2,,13,5,4.3,False,Ativo,Tributário,400,São Paulo,SP,502
174,Felipe Costa ,Femininoinino,Pleno,2024-02-10,2024-02-10,"8374,1",0.12,40,1,100.0,14,22,3.8,True,Ativo,Tributário,400,Salvador,BA,501
175,Mariana Rocha ,Femininoinino,Pleno,,,"7598,32",0.13,30,2,501.0,14,6,4.3,False,Ativo,Corporativo,300,São Paulo,SP,502
176,Kamila Pereira ,Femininoinino,Sênior,2024-07-31,2024-07-31,"10094,79",0.22,40,1,200.0,22,13,4.8,False,Ativo,Tributário,400,Salvador,BA,501
177,Elena Rodrigues ,Não-binário,Júnior,,,"4295,76",0.09,40,2,100.0,33,16,4.7,False,Ativo,Tributário,400,São Paulo,SP,502
178,Tatiana Mendes ,Femininoinino,Júnior,,,"4027,3",0.08,10,2,300.0,31,21,4.5,True,Ativo,Civil,100,São Paulo,SP,502
179,Renata Pinto ,Femininoinino,Júnior,,,"4264,28",0.01,10,3,100.0,19,17,4.3,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
180,Elena Rodrigues ,Masculino,Sênior,2025-03-02,2025-03-02,"12932,27",0.2,10,3,100.0,12,10,3.6,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
181,Renata Pinto ,Não-binário,Júnior,,,"4135,36",0.04,40,3,200.0,14,18,4.9,True,Ativo,Tributário,400,Rio de Janeiro,RJ,503
182,Carla Oliveira ,Não-binário,Pleno,2023-09-19,2023-09-19,"8360,28",0.17,30,4,502.0,31,3,3.8,False,Ativo,Corporativo,300,Belo Horizonte,MG,504
183,Elena Rodrigues ,Femininoinino,Júnior,,,"3517,03",0.02,20,1,100.0,68,43,2.0,True,Desligado,Trabalhista,200,Salvador,BA,501
184,Isabela Carvalho ,Masculino,Sócio,2020-09-12,2020-09-12,"21969,18",0.51,10,3,,30,7,3.9,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
185,Diego Santos ,Não-binário,Sócio,2021-06-14,2021-06-14,"19956,41",0.5,30,1,,17,3,4.2,True,Ativo,Corporativo,300,Salvador,BA,501
186,Hugo Ribeiro ,Masculino,Pleno,,,"6459,81",0.12,40,2,100.0,28,3,4.9,False,Desligado,Tributário,400,São Paulo,SP,502
187,Kamila Pereira ,Masculino,Pleno,,,"5523,91",0.17,40,3,200.0,30,17,5.0,False,Desligado,Tributário,400,Rio de Janeiro,RJ,503
188,Natan Alves ,Femininoinino,Pleno,,,"6539,27",0.2,20,2,200.0,68,58,1.4,False,Desligado,Trabalhista,200,São Paulo,SP,502
189,Bruno Souza ,Masculino,Júnior,,,"4567,48",0.07,20,4,501.0,68,37,1.8,False,Ativo,Trabalhista,200,Belo Horizonte,MG,504
190,Tatiana Mendes ,Femininoinino,Sênior,2023-03-08,08/03/2023,"10565,47",0.32,20,4,200.0,59,43,1.3,False,Ativo,Trabalhista,200,Belo Horizonte,MG,504
191,Diego Santos ,Femininoinino,Júnior,,,"4174,35",0.07,20,1,502.0,53,38,,False,Ativo,Trabalhista,200,Salvador,BA,501
192,Kamila Pereira ,Femininoinino,Júnior,,,"3636,82",0.0,30,1,501.0,24,16,4.2,False,Ativo,Corporativo,300,Salvador,BA,501
193,Diego Santos ,Masculino,Júnior,,,"3682,18",0.1,20,1,501.0,65,55,1.1,False,Desligado,Trabalhista,200,Salvador,BA,501
194,Carla Oliveira ,Femininoinino,Pleno,,,"6830,29",0.1,30,1,400.0,13,7,4.9,True,Desligado,Corporativo,300,Salvador,BA,501
195,Mariana Rocha ,Femininoinino,Pleno,,,"6561,83",0.1,40,4,300.0,31,21,3.6,True,Ativo,Tributário,400,Belo Horizonte,MG,504
196,Pedro Gomes ,Não-binário,Sênior,2020-05-04,2020-05-04,"10397,56",0.27,40,4,300.0,12,14,4.6,False,Ativo,Tributário,400,Belo Horizonte,MG,504
197,Tatiana Mendes ,Masculino,Sênior,2024-10-24,2024-10-24,"10934,95",0.21,40,4,200.0,23,20,5.0,False,Ativo,Tributário,400,Belo Horizonte,MG,504
198,Hugo Ribeiro ,Não-binário,Sênior,2021-06-29,2021-06-29,"12090,61",0.31,10,2,502.0,19,20,3.8,True,Desligado,Civil,100,São Paulo,SP,502
199,Lucas Martins ,Não-binário,Júnior,,,"4345,41",0.07,30,1,501.0,13,4,3.3,True,Ativo,Corporativo,300,Salvador,BA,501
200,Pedro Gomes ,Não-binário,Pleno,,,"7342,4",0.1,20,1,200.0,49,53,2.0,True,Desligado,Trabalhista,200,Salvador,BA,501
201,Lucas Martins ,Femininoinino,Pleno,2025-11-16,2025-11-16,"5803,1",0.2,10,3,501.0,32,12,3.5,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
202,Tatiana Mendes ,Não-binário,Pleno,,,"7701,98",0.19,30,2,501.0,17,21,3.8,False,Desligado,Corporativo,300,São Paulo,SP,502
203,Elena Rodrigues ,Masculino,Pleno,2022-12-18,2022-12-18,"8447,14",0.17,20,1,100.0,53,41,1.3,True,Ativo,Trabalhista,200,Salvador,BA,501
204,Ana Silva ,Femininoinino,Pleno,,,"7697,75",0.15,30,3,501.0,24,5,4.7,False,Desligado,Corporativo,300,Rio de Janeiro,RJ,503
205,Carla Oliveira ,Masculino,Sócio,2018-06-01,2018-06-01,"20734,47",0.47,20,2,,47,45,1.8,False,Ativo,Trabalhista,200,São Paulo,SP,502
206,Felipe Costa ,Masculino,Sênior,2026-05-27,2026-05-27,"10424,98",0.28,40,1,400.0,21,9,3.4,False,Desligado,Tributário,400,Salvador,BA,501
207,Lucas Martins ,Femininoinino,Júnior,,,"4141,41",0.03,40,2,100.0,17,22,3.7,False,Ativo,Tributário,400,São Paulo,SP,502
208,Mariana Rocha ,Masculino,Júnior,,,"4233,65",0.05,40,1,400.0,17,16,3.3,False,Ativo,Tributário,400,Salvador,BA,501
209,Isabela Carvalho ,Femininoinino,Pleno,2024-03-31,2024-03-31,"7589,41",0.19,40,3,501.0,29,3,4.7,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
210,Hugo Ribeiro ,Não-binário,Pleno,2024-02-02,2024-02-02,"8208,33",0.11,40,4,200.0,17,7,,True,Ativo,Tributário,400,Belo Horizonte,MG,504
211,Carla Oliveira ,Masculino,Sênior,,,"10165,45",0.22,20,1,300.0,62,47,1.8,False,Ativo,Trabalhista,200,Salvador,BA,501
212,Vitor Xavier ,Não-binário,Pleno,,,"6758,78",0.11,40,1,300.0,15,11,4.8,False,Desligado,Tributário,400,Salvador,BA,501
213,Pedro Gomes ,Masculino,Pleno,,,"5612,4",0.1,40,3,400.0,22,9,3.3,False,Desligado,Tributário,400,Rio de Janeiro,RJ,503
214,Kamila Pereira ,Femininoinino,Júnior,,,"3966,42",0.07,30,3,501.0,22,10,4.5,True,Ativo,Corporativo,300,Rio de Janeiro,RJ,503
215,Gabriela Almeida ,Masculino,Sênior,,,"13402,35",0.25,10,2,501.0,34,18,3.9,False,Ativo,Civil,100,São Paulo,SP,502
216,Gabriela Almeida ,Femininoinino,Júnior,,,"3874,24",0.08,10,2,502.0,24,22,4.9,True,Ativo,Civil,100,São Paulo,SP,502
217,Pedro Gomes ,Masculino,Júnior,,,"4169,16",0.01,10,2,200.0,21,2,3.9,True,Ativo,Civil,100,São Paulo,SP,502
218,Hugo Ribeiro ,Não-binário,Pleno,2025-01-31,2025-01-31,"6728,52",0.12,20,2,200.0,50,54,2.1,False,Ativo,Trabalhista,200,São Paulo,SP,502
219,Isabela Carvalho ,Não-binário,Sênior,2025-05-16,2025-05-16,"10481,94",0.32,30,3,300.0,12,18,5.0,False,Ativo,Corporativo,300,Rio de Janeiro,RJ,503
220,Diego Santos ,Não-binário,Pleno,2023-10-15,2023-10-15,"6329,45",0.13,30,3,501.0,28,9,4.8,False,Ativo,Corporativo,300,Rio de Janeiro,RJ,503
221,Elena Rodrigues ,Não-binário,Pleno,,,"6992,12",0.1,40,3,300.0,34,20,4.7,True,Ativo,Tributário,400,Rio de Janeiro,RJ,503
222,Lucas Martins ,Não-binário,Sênior,2024-11-03,2024-11-03,"13444,23",0.35,20,4,200.0,68,52,2.1,True,Ativo,Trabalhista,200,Belo Horizonte,MG,504
223,Lucas Martins ,Femininoinino,Júnior,,,"4616,31",0.01,30,1,501.0,27,3,4.8,False,Ativo,Corporativo,300,Salvador,BA,501
224,Renata Pinto ,Femininoinino,Júnior,,,"4801,25",0.05,10,4,400.0,25,20,4.8,True,Ativo,Civil,100,Belo Horizonte,MG,504
225,Felipe Costa ,Não-binário,Pleno,2025-06-24,2025-06-24,"7393,1",0.14,20,3,400.0,50,53,2.1,True,Ativo,Trabalhista,200,Rio de Janeiro,RJ,503
226,Natan Alves ,Não-binário,Júnior,,,"4144,11",0.0,10,2,502.0,22,18,3.5,True,Ativo,Civil,100,São Paulo,SP,502
227,Lucas Martins ,Femininoinino,Júnior,,,"3693,4",0.07,10,2,300.0,35,18,4.3,True,Ativo,Civil,100,São Paulo,SP,502
228,Pedro Gomes ,Masculino,Sênior,2023-01-05,2023-01-05,"13154,04",0.24,40,2,300.0,30,18,3.5,True,Ativo,Tributário,400,São Paulo,SP,502
229,Isabela Carvalho ,Não-binário,Sênior,2024-04-28,2024-04-28,"9986,51",0.23,10,4,400.0,24,5,,False,Ativo,Civil,100,Belo Horizonte,MG,504
230,Ana Silva ,Não-binário,Júnior,,,"4131,31",0.08,20,2,100.0,68,54,1.2,True,Ativo,Trabalhista,200,São Paulo,SP,502
231,Vitor Xavier ,Femininoinino,Júnior,,,"4666,94",0.0,10,4,502.0,29,17,4.8,True,Ativo,Civil,100,Belo Horizonte,MG,504
232,Ana Silva ,Femininoinino,Júnior,,,"4507,45",0.01,40,3,502.0,35,5,4.8,True,Ativo,Tributário,400,Rio de Janeiro,RJ,503
233,Isabela Carvalho ,Masculino,Júnior,,,"3575,12",0.01,20,4,200.0,48,36,1.0,True,Desligado,Trabalhista,200,Belo Horizonte,MG,504
234,Olivia Barbosa ,Masculino,Pleno,,,"7699,2",0.16,20,3,400.0,53,47,2.0,False,Ativo,Trabalhista,200,Rio de Janeiro,RJ,503
235,Elena Rodrigues ,Femininoinino,Júnior,,,"4589,62",0.1,40,2,300.0,26,7,4.3,False,Ativo,Tributário,400,São Paulo,SP,502
236,Pedro Gomes ,Masculino,Pleno,2022-03-17,2022-03-17,"5690,01",0.2,10,2,501.0,28,18,4.4,False,Ativo,Civil,100,São Paulo,SP,502
237,Hugo Ribeiro ,Não-binário,Sênior,2024-09-12,2024-09-12,"10168,95",0.21,10,4,400.0,17,18,4.7,True,Ativo,Civil,100,Belo Horizonte,MG,504
238,Kamila Pereira ,Masculino,Sênior,2023-05-08,2023-05-08,"10502,18",0.27,20,1,400.0,59,53,1.6,True,Ativo,Trabalhista,200,Salvador,BA,501
239,Pedro Gomes ,Femininoinino,Júnior,,,"3526,65",0.08,40,3,300.0,18,22,4.4,True,Ativo,Tributário,400,Rio de Janeiro,RJ,503
240,Olivia Barbosa ,Femininoinino,Júnior,,,"4340,23",0.1,30,1,502.0,19,2,3.8,False,Ativo,Corporativo,300,Salvador,BA,501
241,Diego Santos ,Não-binário,Júnior,,,"4845,32",0.09,30,3,400.0,18,8,3.4,False,Ativo,Corporativo,300,Rio de Janeiro,RJ,503
242,Kamila Pereira ,Femininoinino,Pleno,2022-03-08,2022-03-08,"7399,72",0.2,20,4,100.0,61,39,2.3,True,Ativo,Trabalhista,200,Belo Horizonte,MG,504
243,Pedro Gomes ,Não-binário,Pleno,,,"8230,54",0.16,10,4,501.0,31,21,4.8,False,Desligado,Civil,100,Belo Horizonte,MG,504
244,Hugo Ribeiro ,Não-binário,Pleno,2023-02-02,02/02/2023,"8411,47",0.18,40,4,200.0,34,19,4.3,False,Ativo,Tributário,400,Belo Horizonte,MG,504
245,Lucas Martins ,Não-binário,Pleno,2024-12-14,2024-12-14,"7450,26",0.11,20,3,502.0,62,50,1.8,True,Ativo,Trabalhista,200,Rio de Janeiro,RJ,503
246,Ana Silva ,Masculino,Pleno,2024-01-29,2024-01-29,"5935,98",0.2,40,3,300.0,16,3,4.4,True,Ativo,Tributário,400,Rio de Janeiro,RJ,503
247,Olivia Barbosa ,Masculino,Júnior,,,"4424,16",0.08,20,1,100.0,67,44,2.0,True,Ativo,Trabalhista,200,Salvador,BA,501
248,Kamila Pereira ,Masculino,Sócio,2015-06-27,2015-06-27,"24883,56",0.49,40,4,,23,20,,False,Ativo,Tributário,400,Belo Horizonte,MG,504
249,Olivia Barbosa ,Masculino,Sênior,2020-12-29,2020-12-29,"11812,31",0.28,20,2,300.0,49,40,1.8,False,Ativo,Trabalhista,200,São Paulo,SP,502
250,Elena Rodrigues ,Masculino,Júnior,,,"3730,56",0.09,10,3,502.0,29,13,3.3,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
251,Renata Pinto ,Femininoinino,Pleno,,,"5978,11",0.13,30,2,200.0,22,12,3.8,False,Desligado,Corporativo,300,São Paulo,SP,502
252,Lucas Martins ,Femininoinino,Júnior,,,"3860,52",0.01,40,1,300.0,24,10,4.2,True,Ativo,Tributário,400,Salvador,BA,501
253,Renata Pinto ,Não-binário,Júnior,,,"4230,21",0.08,10,3,200.0,29,2,4.3,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
254,Gabriela Almeida ,Femininoinino,Pleno,2024-12-30,2024-12-30,"7724,13",0.1,20,4,100.0,67,45,1.1,False,Ativo,Trabalhista,200,Belo Horizonte,MG,504
255,Samuel Teixeira ,Masculino,Pleno,2022-03-14,2022-03-14,"8232,96",0.15,10,2,502.0,24,5,4.2,True,Ativo,Civil,100,São Paulo,SP,502
256,Carla Oliveira ,Não-binário,Júnior,,,"4892,07",0.06,10,1,501.0,24,2,4.1,True,Ativo,Civil,100,Salvador,BA,501
257,Mariana Rocha ,Não-binário,Júnior,,,"3942,47",0.08,20,2,100.0,62,39,1.2,True,Ativo,Trabalhista,200,São Paulo,SP,502
258,Gabriela Almeida ,Masculino,Júnior,,,"3817,61",0.04,40,1,501.0,18,5,3.5,False,Ativo,Tributário,400,Salvador,BA,501
259,Samuel Teixeira ,Não-binário,Júnior,,,"3935,98",0.02,10,4,300.0,33,22,3.6,False,Ativo,Civil,100,Belo Horizonte,MG,504
260,Pedro Gomes ,Masculino,Pleno,,,"7478,27",0.15,10,2,200.0,17,2,3.8,True,Desligado,Civil,100,São Paulo,SP,502
261,Elena Rodrigues ,Masculino,Pleno,,,"8133,66",0.18,40,3,300.0,17,22,4.3,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
262,Carla Oliveira ,Masculino,Sênior,2024-01-29,29/01/2024,"12342,32",0.32,20,2,501.0,46,52,1.4,True,Ativo,Trabalhista,200,São Paulo,SP,502
263,Mariana Rocha ,Masculino,Sênior,2023-04-02,2023-04-02,"9907,49",0.27,40,2,200.0,17,18,3.5,False,Desligado,Tributário,400,São Paulo,SP,502
264,Pedro Gomes ,Não-binário,Pleno,2023-01-24,2023-01-24,"6962,93",0.18,20,2,100.0,57,50,2.3,False,Ativo,Trabalhista,200,São Paulo,SP,502
265,Renata Pinto ,Femininoinino,Júnior,,,"4744,47",0.06,10,3,100.0,23,20,4.4,True,Ativo,Civil,100,Rio de Janeiro,RJ,503
266,Renata Pinto ,Femininoinino,Júnior,,,"4029,35",0.02,30,4,501.0,26,7,3.6,False,Ativo,Corporativo,300,Belo Horizonte,MG,504
267,Felipe Costa ,Femininoinino,Júnior,,,"4043,33",0.1,30,2,200.0,27,17,,True,Ativo,Corporativo,300,São Paulo,SP,502
268,Bruno Souza ,Femininoinino,Pleno,2022-07-08,2022-07-08,"5904,17",0.12,40,1,501.0,17,18,4.9,False,Ativo,Tributário,400,Salvador,BA,501
269,Gabriela Almeida ,Femininoinino,Júnior,,,"4409,79",0.02,10,3,502.0,31,18,3.7,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
270,Tatiana Mendes ,Não-binário,Pleno,2021-09-14,2021-09-14,"5896,64",0.12,30,4,501.0,15,7,4.1,True,Ativo,Corporativo,300,Belo Horizonte,MG,504
271,Pedro Gomes ,Feminino,Júnior,,,"3695,49",0.06,10,1,400.0,23,3,4.5,True,Ativo,Civil,100,Salvador,BA,501
272,Lucas Martins ,Masculino,Sócio,2020-08-08,2020-08-08,"24872,43",0.44,20,4,,45,57,2.0,True,Ativo,Trabalhista,200,Belo Horizonte,MG,504
273,Ana Silva ,Não-binário,Pleno,2024-01-08,2024-01-08,"7912,86",0.14,10,1,300.0,25,20,3.9,False,Ativo,Civil,100,Salvador,BA,501
274,Samuel Teixeira ,Masculino,Sênior,,,"11676,92",0.31,40,2,400.0,33,5,4.5,False,Ativo,Tributário,400,São Paulo,SP,502
275,Renata Pinto ,Femininoinino,Júnior,,,"4679,12",0.1,20,1,400.0,45,37,2.2,False,Ativo,Trabalhista,200,Salvador,BA,501
276,Isabela Carvalho ,Femininoinino,Pleno,,,"7327,09",0.19,40,1,100.0,17,22,4.1,True,Desligado,Tributário,400,Salvador,BA,501
277,Bruno Souza ,Femininoinino,Pleno,,,"7047,44",0.13,20,3,300.0,45,40,1.1,True,Ativo,Trabalhista,200,Rio de Janeiro,RJ,503
278,Mariana Rocha ,Não-binário,Júnior,,,"4379,12",0.09,40,3,300.0,23,13,4.9,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
279,Mariana Rocha ,Masculino,Pleno,,,"6025,1",0.15,20,2,501.0,61,43,2.2,True,Desligado,Trabalhista,200,São Paulo,SP,502
280,Tatiana Mendes ,Masculino,Sênior,2023-09-17,17/09/2023,"11564,82",0.2,30,4,200.0,20,4,3.9,True,Ativo,Corporativo,300,Belo Horizonte,MG,504
281,Lucas Martins ,Masculino,Júnior,,,"4303,48",0.08,20,3,200.0,50,50,1.4,False,Desligado,Trabalhista,200,Rio de Janeiro,RJ,503
282,Gabriela Almeida ,Não-binário,Pleno,2024-01-28,2024-01-28,"6226,17",0.12,30,2,502.0,15,4,4.4,False,Ativo,Corporativo,300,São Paulo,SP,502
283,Bruno Souza ,Não-binário,Júnior,,,"4056,79",0.02,40,1,501.0,28,10,3.9,False,Ativo,Tributário,400,Salvador,BA,501
284,Natan Alves ,Não-binário,Júnior,,,"4909,48",0.08,20,1,100.0,59,45,2.0,False,Ativo,Trabalhista,200,Salvador,BA,501
285,Diego Santos ,Não-binário,Júnior,,,"4042,4",0.05,20,4,200.0,56,40,1.7,False,Desligado,Trabalhista,200,Belo Horizonte,MG,504
286,Mariana Rocha ,Masculino,Júnior,,,"4176,09",0.08,40,3,502.0,25,14,,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
287,Felipe Costa ,Femininoinino,Júnior,,,"4249,4",0.04,20,4,100.0,62,53,1.1,False,Desligado,Trabalhista,200,Belo Horizonte,MG,504
288,Isabela Carvalho ,Femininoinino,Pleno,2024-07-20,2024-07-20,"7733,78",0.15,20,1,502.0,58,38,1.5,False,Ativo,Trabalhista,200,Salvador,BA,501
289,Lucas Martins ,Masculino,Pleno,2023-10-06,06/10/2023,"7824,23",0.17,20,2,300.0,49,40,1.9,True,Ativo,Trabalhista,200,São Paulo,SP,502
290,Carla Oliveira ,Femininoinino,Pleno,,,"6440,45",0.14,40,4,400.0,23,20,4.1,False,Desligado,Tributário,400,Belo Horizonte,MG,504
291,Ana Silva ,Femininoinino,Sênior,2021-09-13,2021-09-13,"12653,14",0.32,40,2,100.0,14,17,4.2,True,Ativo,Tributário,400,São Paulo,SP,502
292,Isabela Carvalho ,Femininoinino,Júnior,,,"3732,91",0.1,40,1,200.0,16,6,4.1,True,Ativo,Tributário,400,Salvador,BA,501
293,Lucas Martins ,Não-binário,Pleno,2023-06-28,2023-06-28,"8112,69",0.19,10,1,501.0,26,22,4.5,False,Ativo,Civil,100,Salvador,BA,501
294,Pedro Gomes ,Masculino,Sênior,2024-01-10,2024-01-10,"11146,02",0.2,40,3,501.0,16,13,3.7,True,Desligado,Tributário,400,Rio de Janeiro,RJ,503
295,João Lima ,Masculino,Sênior,2023-01-18,2023-01-18,"13085,45",0.33,10,4,502.0,24,9,3.5,False,Ativo,Civil,100,Belo Horizonte,MG,504
296,Isabela Carvalho ,Femininoinino,Júnior,,,"4133,36",0.08,40,4,100.0,20,15,3.5,True,Ativo,Tributário,400,Belo Horizonte,MG,504
297,Diego Santos ,Masculino,Sênior,,,"12302,39",0.24,20,2,300.0,45,40,2.4,True,Ativo,Trabalhista,200,São Paulo,SP,502
298,Olivia Barbosa ,Não-binário,Pleno,,,"5770,59",0.17,30,2,200.0,26,3,3.8,False,Ativo,Corporativo,300,São Paulo,SP,502
299,Carla Oliveira ,Masculino,Sênior,2026-01-16,2026-01-16,"10625,36",0.23,10,3,100.0,26,9,4.5,True,Ativo,Civil,100,Rio de Janeiro,RJ,503
300,Diego Santos ,Não-binário,Júnior,,,"4499,01",0.0,20,4,300.0,68,52,1.7,False,Ativo,Trabalhista,200,Belo Horizonte,MG,504
301,Lucas Martins ,Feminino,Pleno,,,"6153,36",0.12,40,3,200.0,30,5,3.9,False,Desligado,Tributário,400,Rio de Janeiro,RJ,503
302,Pedro Gomes ,Não-binário,Sênior,2024-11-09,2024-11-09,"10209,64",0.3,10,1,502.0,13,13,4.4,False,Ativo,Civil,100,Salvador,BA,501
303,Hugo Ribeiro ,Masculino,Pleno,,,"7865,69",0.1,10,2,100.0,23,6,3.7,True,Desligado,Civil,100,São Paulo,SP,502
304,João Lima ,Não-binário,Sênior,2026-01-15,2026-01-15,"11064,49",0.25,40,4,300.0,16,16,3.7,False,Desligado,Tributário,400,Belo Horizonte,MG,504
305,Renata Pinto ,Femininoinino,Pleno,,,"8148,8",0.15,30,4,200.0,33,19,,False,Desligado,Corporativo,300,Belo Horizonte,MG,504
306,João Lima ,Não-binário,Júnior,,,"4114,71",0.0,40,2,100.0,18,5,4.1,False,Ativo,Tributário,400,São Paulo,SP,502
307,Pedro Gomes ,Não-binário,Pleno,,,"7270,9",0.13,10,4,502.0,27,4,4.0,False,Desligado,Civil,100,Belo Horizonte,MG,504
308,Natan Alves ,Não-binário,Sênior,,,"12276,2",0.29,10,3,200.0,28,5,3.4,False,Desligado,Civil,100,Rio de Janeiro,RJ,503
309,Renata Pinto ,Femininoinino,Júnior,,,"3873,14",0.09,40,2,400.0,23,16,4.5,False,Ativo,Tributário,400,São Paulo,SP,502
310,Samuel Teixeira ,Femininoinino,Pleno,2023-12-16,2023-12-16,"5974,53",0.18,10,2,400.0,23,15,4.6,False,Ativo,Civil,100,São Paulo,SP,502
311,Samuel Teixeira ,Não-binário,Pleno,,,"7150,72",0.16,30,2,501.0,35,3,5.0,False,Desligado,Corporativo,300,São Paulo,SP,502
312,Ana Silva ,Masculino,Pleno,2022-12-29,2022-12-29,"6444,71",0.11,10,2,300.0,26,13,3.5,True,Ativo,Civil,100,São Paulo,SP,502
313,Isabela Carvalho ,Femininoinino,Pleno,2022-10-24,2022-10-24,"7207,19",0.12,30,2,100.0,34,20,4.7,True,Ativo,Corporativo,300,São Paulo,SP,502
314,Tatiana Mendes ,Não-binário,Júnior,,,"3617,72",0.03,30,1,100.0,35,22,4.7,False,Ativo,Corporativo,300,Salvador,BA,501
315,Renata Pinto ,Masculino,Sócio,2018-10-11,2018-10-11,"19766,38",0.36,40,1,,30,18,3.4,True,Ativo,Tributário,400,Salvador,BA,501
316,Elena Rodrigues ,Masculino,Pleno,,,"6927,56",0.16,40,3,400.0,25,6,4.6,False,Desligado,Tributário,400,Rio de Janeiro,RJ,503
317,Tatiana Mendes ,Masculino,Júnior,,,"4341,75",0.1,20,4,400.0,63,37,1.2,True,Desligado,Trabalhista,200,Belo Horizonte,MG,504
318,Gabriela Almeida ,Masculino,Júnior,,,"4016,79",0.02,40,3,200.0,26,3,4.9,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
319,Carla Oliveira ,Femininoinino,Júnior,,,"4609,37",0.01,20,3,300.0,54,49,1.7,True,Desligado,Trabalhista,200,Rio de Janeiro,RJ,503
320,Samuel Teixeira ,Femininoinino,Pleno,,,"7146,4",0.19,20,2,100.0,61,36,1.4,True,Desligado,Trabalhista,200,São Paulo,SP,502
321,Vitor Xavier ,Não-binário,Pleno,2022-08-05,2022-08-05,"8335,53",0.1,30,2,400.0,32,14,3.6,False,Ativo,Corporativo,300,São Paulo,SP,502
322,Vitor Xavier ,Masculino,Júnior,,,"3632,03",0.08,10,3,502.0,21,12,4.1,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
323,Lucas Martins ,Masculino,Júnior,,,"4437,85",0.0,20,1,300.0,62,43,1.3,False,Desligado,Trabalhista,200,Salvador,BA,501
324,Mariana Rocha ,Femininoinino,Pleno,2024-11-13,2024-11-13,"7376,57",0.14,40,2,200.0,22,16,,False,Ativo,Tributário,400,São Paulo,SP,502
325,João Lima ,Femininoinino,Júnior,,,"4557,7",0.01,20,2,100.0,62,52,2.3,True,Desligado,Trabalhista,200,São Paulo,SP,502
326,Ana Silva ,Femininoinino,Júnior,,,"4820,2",0.03,20,3,501.0,48,39,1.3,False,Ativo,Trabalhista,200,Rio de Janeiro,RJ,503
327,Hugo Ribeiro ,Não-binário,Pleno,2023-04-03,2023-04-03,"5738,43",0.2,30,2,200.0,17,14,4.1,False,Ativo,Corporativo,300,São Paulo,SP,502
328,Bruno Souza ,Femininoinino,Júnior,,,"4646,81",0.02,20,2,300.0,59,54,1.7,False,Desligado,Trabalhista,200,São Paulo,SP,502
329,Mariana Rocha ,Masculino,Pleno,,,"7706,0",0.18,40,2,100.0,26,16,4.7,True,Ativo,Tributário,400,São Paulo,SP,502
330,Bruno Souza ,Não-binário,Júnior,,,"4081,1",0.04,20,4,501.0,59,40,1.6,False,Desligado,Trabalhista,200,Belo Horizonte,MG,504
331,Olivia Barbosa ,Masculino,Pleno,2022-03-17,2022-03-17,"7836,19",0.16,10,2,501.0,26,2,3.5,False,Ativo,Civil,100,São Paulo,SP,502
332,Isabela Carvalho ,Femininoinino,Júnior,,,"4537,58",0.07,20,4,502.0,65,46,1.1,True,Ativo,Trabalhista,200,Belo Horizonte,MG,504
333,Samuel Teixeira ,Masculino,Sênior,2022-02-18,2022-02-18,"12044,71",0.25,40,2,300.0,34,3,4.0,True,Ativo,Tributário,400,São Paulo,SP,502
334,Felipe Costa ,Não-binário,Júnior,,,"4847,81",0.07,40,3,400.0,29,2,4.3,True,Ativo,Tributário,400,Rio de Janeiro,RJ,503
335,Pedro Gomes ,Não-binário,Pleno,2024-02-12,2024-02-12,"7303,65",0.1,20,2,100.0,49,36,1.9,True,Ativo,Trabalhista,200,São Paulo,SP,502
336,Tatiana Mendes ,Não-binário,Pleno,2024-10-18,2024-10-18,"5763,11",0.19,20,1,501.0,67,57,1.8,False,Ativo,Trabalhista,200,Salvador,BA,501
